Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 91-43 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,311498.684,2337.426,,74465.61570000001,,,,37388.13,4717.02,542.736,1703.8076,,37273.735,50520.46169999999,130.9263,,,,,,,,,,,,,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10,95,1077,177,,,,,,,,,,,,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,10643
[4825],OCEAN ISLAND,ICELAND / ICELAND / SNAEFELLSJKULL / ATLANTIC OCEAN,,64.807,64.807,-15.633,-15.633,SUBAERIAL,,,s VH23 [4825],TRACHYTE [4825],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4825] ,298317.01700000005,3775.8419999999996,,76476.7695,,,,65604.12,24442.739999999998,1628.208,2633.1572,,21417.87,42805.14889999999,567.3473,,,,,,,,,,,,,,,,-2900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,1.2,11.9,,,15.4,2.3,5.1,144.2,23.5,,,,,52.4,284.5,66.7,488.4,58.4,,,,,,,,,,,,,689.6,55.65,115.87,14.64,63.14,14.24,5.1,14.2,2.28,12.67,2.29,7.16,1.06,6.53,1.14,,,,,,,,,,,6.48,,6.44,1.98,,,,,,,,,,,,,,,,,,,,,,,,,107563
[3348][707],OCEAN ISLAND,MADEIRA ARCHIPELAGO / PORTO SANTO / ATLANTIC OCEAN,,33.0922,33.0922,-16.305,-16.305,SUBAERIAL,,,s M-41 [3348] / s M41 [707],BASALT [3348] / TRACHYTE [707],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3348] ,255780.432,8270.891999999998,,97805.58480000001,,40984.840000000004,14690.97,55110.57,52959.270000000004,11879.887999999999,1471.4702,,10874.965,37686.3356,2880.3786,10900.,12300.,,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0,,,63,0,13,116,28,,,,,33.8,1032,39.2,484,80.1,,,,,,,,,,,,0.39,402,74.1,142,16.4,63.7,11.6,3.5,10.4,1.4,7.41,1.37,3.68,0.48,3.07,0.44,9.49,4.79,577,,,,,,,0.06,3.55,,6,1.64,,,,,,,,,,,,,,,,,,,,,,,,,10767-M 41
[1894],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / PUTORANA REGION / DELKANSKY FORMATION,"MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN",72,72,101,101,SUBAERIAL,,,s 16 [1894],TRACHYTE [1894],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1894] ,287939.96,5813.597999999999,,83092.407,,22800.44,13758.210000000001,,13507.83,8563.168,774.4580000000001,,94139.01,10385.998,1047.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109559
[643],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s ASM224A [643],"TRACHYTE, ALKALINE [643]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [643] ,274851.78,7671.552,,89972.67,,22450.739999999998,11737.23,,22370.11,9588.336,1006.7954,,46903.475000000006,38428.192599999995,1091.0525,12300.,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,6,13,43,117,,,,,,123,372,34,592,99,,,,,,,,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11326
[643],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s ASM213 [643],"TRACHYTE, ALKALINE [643]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [643] ,284667.91500000004,5453.994,,92089.674,,9441.900000000001,17100.600000000002,,14079.59,5186.143999999999,1006.7954,,48729.805,40282.8351,785.5577999999999,18400.,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,6,22,22,92,,,,,,156,262,37,733,122,,,,,,,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,4.27,,,,,,,,,,,,,,,,,,,,,,,,,11329
[643],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s ASM240 [643],"TRACHYTE, ALKALINE [643]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [643] ,288407.395,4315.248,,94206.67800000001,,11679.98,9871.710000000001,,10863.44,3618.24,851.9038,,54374.825,43472.8202,654.6315,11700.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,5,5,64,,,,,,117,165,31,529,85,,,,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11332
[643],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s ASM212 [643],"TRACHYTE, ALKALINE [643]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [643] ,284667.91500000004,5633.795999999999,,92089.674,,12099.619999999999,16012.380000000001,,14365.47,5065.535999999999,1084.2412000000002,,50141.06,41469.8063,785.5577999999999,19900.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,6,14,22,93,,,,,,158,247,42,782,130,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11333
[643],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s ASM219 [643],"TRACHYTE, ALKALINE [643]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [643] ,284200.48,4614.918,,94206.67800000001,,9721.66,15468.27,,10005.8,3256.416,1084.2412000000002,,50224.075,41469.8063,567.3473,24500.,,,,2500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6,14,12,99,,,,,,169,132,47,953,146,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11334
[643],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s ASM266 [643],"TRACHYTE, ALKALINE [643]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [643] ,280928.43500000006,4375.182,,95794.43100000001,,11540.099999999999,13291.83,,9505.51,3135.808,1084.2412000000002,,48065.685,39021.678199999995,567.3473,39300.,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,5,7,7,96,,,,,,160,106,43,1022,146,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11335
